Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,157260,7308,140530.0,9422.0,3916,182,791314.0,19703.0,40162033
Albania,199750,3092,189227.0,7431.0,69518,1076,1392736.0,484706.0,2873365
Algeria,210344,6064,144295.0,59985.0,4678,135,230861.0,5134.0,44965909
Andorra,16712,131,15770.0,811.0,215809,1692,193595.0,2499968.0,77439
Angola,65155,1733,63206.0,216.0,1899,51,1179270.0,34378.0,34303404
Antigua and Barbuda,4141,117,4008.0,16.0,41798,1181,17782.0,179486.0,99072
Argentina,5328416,116554,5192404.0,19458.0,116391,2546,26173874.0,571728.0,45780258
Armenia,338120,7535,316198.0,14387.0,113805,2536,2360218.0,794405.0,2971053
Aruba,16335,174,15986.0,175.0,152088,1620,177885.0,1656208.0,107405
Australia,210237,2006,192746.0,15485.0,8112,77,47884203.0,1847616.0,25916754
Austria,1151809,12425,994091.0,145293.0,126867,1369,110110679.0,12128272.0,9078843
Azerbaijan,586640,7833,552815.0,25992.0,57133,763,5526664.0,538243.0,10267975
Bahamas,22763,671,21607.0,485.0,57116,1684,168197.0,422034.0,398539
Bahrain,277628,1394,275929.0,305.0,155562,781,7384537.0,4137737.0,1784680
Bangladesh,1576011,27980,1540597.0,7434.0,9437,168,10868949.0,65083.0,167001564
Barbados,25152,228,21727.0,3197.0,87372,792,435366.0,1512365.0,287871
Belarus,653323,5067,640132.0,8124.0,69172,536,10381143.0,1099122.0,9444939
Belgium,1749469,26966,1333810.0,388693.0,150031,2313,24619234.0,2111293.0,11660737
Belize,30338,574,28646.0,1118.0,74396,1408,347892.0,853113.0,407791
Benin,24850,161,24546.0,143.0,1977,13,604310.0,48076.0,12569832
Bermuda,5748,106,5609.0,33.0,92780,1711,646478.0,10434975.0,61953
Bhutan,2640,3,2620.0,17.0,3369,4,1240776.0,1583471.0,783580
Bolivia,536472,19161,491946.0,25365.0,45092,1611,2586370.0,217391.0,11897322
Bosnia and Herzegovina,274219,12555,192218.0,69446.0,84322,3861,1393545.0,428516.0,3252029
Botswana,195068,2418,192048.0,602.0,80658,1000,1869359.0,772954.0,2418462
Brazil,22084749,614428,21304115.0,166206.0,102868,2862,63776166.0,297063.0,214689251
British Virgin Islands,2765,38,,,90611,1245,82570.0,2705882.0,30515
Brunei,15058,97,14451.0,510.0,33962,219,614805.0,1386626.0,443382
Bulgaria,692376,28325,558928.0,105123.0,100714,4120,6549700.0,952732.0,6874648
Burkina Faso,15711,281,15211.0,219.0,724,13,230176.0,10603.0,21709361
Burundi,20386,38,773.0,19575.0,1646,3,345742.0,27908.0,12388680
Cabo Verde,38367,349,37949.0,69.0,67967,618,211166.0,374079.0,564496
Cambodia,120112,2935,116488.0,689.0,7047,172,2715508.0,159315.0,17044899
Cameroon,106794,1791,102716.0,2287.0,3887,65,1751774.0,63758.0,27475438
Canada,1790142,29670,1734556.0,25916.0,46852,777,48740327.0,1275640.0,38208540
CAR,11708,101,6859.0,4748.0,2366,20,60228.0,12172.0,4948007
Caribbean Netherlands,2905,22,2639.0,244.0,109346,828,30126.0,1133963.0,26567
Cayman Islands,6738,4,2550.0,4184.0,100855,60,202426.0,3029921.0,66809
Chad,5105,175,4874.0,56.0,299,10,148082.0,8666.0,17088618
Channel Islands,17884,103,15713.0,2068.0,101544,585,1077013.0,6115188.0,176121
Chile,1761365,38343,1654534.0,68488.0,91039,1982,25551531.0,1320665.0,19347472
China,98711,4636,93285.0,790.0,69,3,160000000.0,111163.0,1439323776
Colombia,5067348,128473,4907484.0,31391.0,98115,2488,28064873.0,543397.0,51647114
Comoros,4498,150,4284.0,64.0,5022,167,,,895672
Congo,18905,354,12421.0,6130.0,3311,62,188207.0,32966.0,5709163
Costa Rica,566560,7287,543875.0,15398.0,109805,1412,2715029.0,526201.0,5159676
Croatia,604347,10826,563630.0,29891.0,148505,2660,3437227.0,844621.0,4069551
Cuba,962350,8300,953130.0,920.0,85037,733,11083208.0,979353.0,11316865
Curaçao,17401,178,17119.0,104.0,105436,1079,336234.0,2037300.0,165039
Cyprus,133860,594,124370.0,8896.0,109744,487,9477138.0,7769751.0,1219748
Czechia,2132380,32929,1835044.0,264407.0,198601,3067,43539197.0,4055063.0,10736997
Denmark,483253,2883,403118.0,77252.0,83019,495,93454969.0,16054901.0,5820962
Djibouti,13504,186,13293.0,25.0,13394,184,246424.0,244411.0,1008237
Dominica,5955,38,5475.0,442.0,82436,526,108009.0,1495183.0,72238
Dominican Republic,407113,4204,399463.0,3446.0,37006,382,2453480.0,223019.0,11001208
DRC,58234,1107,50930.0,6197.0,624,12,306299.0,3280.0,93389220
Ecuador,526615,33219,443880.0,49516.0,29223,1843,2013368.0,111727.0,18020382
Egypt,357629,20412,296897.0,40320.0,3404,194,3693367.0,35158.0,105051654
El Salvador,119803,3774,102982.0,13047.0,18340,578,1440742.0,220555.0,6532345
Equatorial Guinea,13579,173,13323.0,83.0,9251,118,242340.0,165108.0,1467764
Eritrea,7341,60,7084.0,197.0,2030,17,23693.0,6553.0,3615561
Estonia,221860,1791,201315.0,18754.0,167089,1349,2327340.0,1752788.0,1327793
Eswatini,46582,1248,45241.0,93.0,39574,1060,388043.0,329663.0,1177091
Ethiopia,371346,6750,348886.0,15710.0,3121,57,3865030.0,32488.0,118969649
Faeroe Islands,3553,13,3110.0,430.0,72326,265,562000.0,11440204.0,49125
Fiji,52506,696,51037.0,773.0,57979,769,460369.0,508357.0,905601
Finland,185622,1335,46000.0,138287.0,33428,240,7896869.0,1422127.0,5552858
